37517,BY,17,Minsk,Minsk,,,,Capital and largest city,
375162,BY,162,Brest,Brest,,,,Brest Fortress, border with Poland
375212,BY,212,Vitebsk,Vitebsk,,,,Cultural capital, Slavianski Bazaar festival
375232,BY,232,Gomel,Gomel,,,,Second largest city, park and palace ensemble
375152,BY,152,Grodno,Grodno,,,,Historic city near Polish/Lithuanian borders,
375222,BY,222,Mogilev,Mogilev,,,,Eastern industrial hub,
375163,BY,163,Brest,Baranovichi,,,,Major railway junction,
375177,BY,177,Minsk,Borisov,,,,Industrial city on the Berezina river,
375225,BY,225,Mogilev,Bobruysk,,,,One of the oldest cities, tire manufacturing
375165,BY,165,Brest,Pinsk,,,,Capital of the Polesia region,
375216,BY,216,Vitebsk,Orsha,,,,Important transport node,
375214,BY,214,Vitebsk,Polotsk,,,,Oldest city in Belarus,
375174,BY,174,Minsk,Soligorsk,,,,Potash mining center,